onnx_name,mac_ori,ori_peak_mem,peak_after_ourTS_bal,peak_after_tinyTS,peak_after_tinynas,reduction_ourTS_bal,reduction_tinyTS,reduction_tinynas,needTS,valid_ourTS_bal,valid_tinyTS,valid_tinynas,TSwork_ourTS_bal,TSwork_tinyTS,TSwork_tinynas
w0.25_ir128_subnet_ID0,187170816,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID1,38756352,196608,86016,196608,135168,56.25%,0.00%,31.25%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID10,34977792,196608,86016,196608,110080,56.25%,0.00%,44.01%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID100,31162368,196608,86016,196608,110080,56.25%,0.00%,44.01%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID101,58146816,196608,86016,196608,133120,56.25%,0.00%,32.29%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID102,129589248,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID103,33153024,196608,86016,196608,110080,56.25%,0.00%,44.01%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID104,32931840,196608,86016,196608,110080,56.25%,0.00%,44.01%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID105,77223936,196608,196608,196608,196608,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID106,139837440,786432,786432,786432,786432,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID107,53815296,196608,86016,196608,110080,56.25%,0.00%,44.01%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID108,97628160,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID109,84688896,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID11,105977856,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID110,137404416,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID111,153034752,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID112,47456256,196608,86016,196608,135168,56.25%,0.00%,31.25%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID113,111304704,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID114,33595392,196608,86016,196608,110080,56.25%,0.00%,44.01%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID115,474267648,1081344,1081344,786432,1081344,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID116,108576768,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID117,29724672,196608,86016,196608,110080,56.25%,0.00%,44.01%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID118,33300480,196608,86016,196608,110080,56.25%,0.00%,44.01%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID119,30167040,196608,86016,196608,110080,56.25%,0.00%,44.01%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID12,165199872,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID120,48470016,196608,86016,196608,110080,56.25%,0.00%,44.01%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID121,250134528,786432,786432,786432,786432,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID122,75177984,196608,86016,196608,135168,56.25%,0.00%,31.25%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID123,106143744,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID124,109387776,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID125,430694400,1081344,1081344,786432,1081344,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID126,133054464,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID127,33466368,196608,86016,196608,110080,56.25%,0.00%,44.01%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID128,142123008,270336,270336,196608,270336,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID129,477216768,1081344,1081344,786432,1081344,0.00%,27.27%,0.00%,1,0,0,0,0,0,0
w0.25_ir128_subnet_ID13,42405888,196608,86016,196608,110080,56.25%,0.00%,44.01%,1,1,0,0,1,0,0
