onnx_name,mac_ori,ori_peak_mem,peak_after_ourTS_bal,peak_after_tinyTS,peak_after_tinynas,reduction_ourTS_bal,reduction_tinyTS,reduction_tinynas,needTS,valid_ourTS_bal,valid_tinyTS,valid_tinynas,TSwork_ourTS_bal,TSwork_tinyTS,TSwork_tinynas
w0.25_ir128_subnet_ID0,1106886656,548864,98304,287104,208896,82.09%,47.69%,61.94%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID1,1758953472,811008,98304,418176,614400,87.88%,48.44%,24.24%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID10,1178419200,811008,98304,418176,614400,87.88%,48.44%,24.24%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID100,804601856,548864,98304,287104,103424,82.09%,47.69%,81.16%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID101,1131528192,417792,98304,221568,159744,76.47%,46.97%,61.76%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID102,2604515328,548864,98304,287104,307200,82.09%,47.69%,44.03%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID103,1483046912,548864,98304,287104,417792,82.09%,47.69%,23.88%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID104,685473792,417792,98304,221568,319488,76.47%,46.97%,23.53%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID105,683114496,417792,98304,221568,307200,76.47%,46.97%,26.47%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID106,1339129856,548864,98304,287104,307200,82.09%,47.69%,44.03%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID107,1605599232,417792,98304,221568,307200,76.47%,46.97%,26.47%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID108,1330872320,548864,98304,287104,417792,82.09%,47.69%,23.88%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID109,1705738240,417792,98304,221568,319488,76.47%,46.97%,23.53%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID11,956940288,417792,98304,221568,319488,76.47%,46.97%,23.53%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID110,2334638080,417792,98304,221568,319488,76.47%,46.97%,23.53%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID111,712884224,548864,98304,287104,208896,82.09%,47.69%,61.94%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID112,618381312,417792,98304,221568,319488,76.47%,46.97%,23.53%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID113,1346076672,417792,98304,221568,319488,76.47%,46.97%,23.53%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID114,2076147712,811008,98304,418176,614400,87.88%,48.44%,24.24%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID115,905789440,417792,98304,221568,307200,76.47%,46.97%,26.47%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID116,1860419584,417792,98304,221568,319488,76.47%,46.97%,23.53%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID117,725598208,417792,98304,221568,159744,76.47%,46.97%,61.76%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID118,2294513664,811008,98304,418176,614400,87.88%,48.44%,24.24%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID119,1197293568,811008,98304,418176,159744,87.88%,48.44%,80.30%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID12,1005289472,548864,98304,287104,208896,82.09%,47.69%,61.94%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID120,1905098752,417792,98304,221568,307200,76.47%,46.97%,26.47%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID121,1999355904,548864,98304,287104,417792,82.09%,47.69%,23.88%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID122,1777827840,811008,98304,418176,614400,87.88%,48.44%,24.24%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID123,2995093504,811008,98304,418176,614400,87.88%,48.44%,24.24%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID124,387022848,417792,98304,221568,98304,76.47%,46.97%,76.47%,1,1,0,1,1,0,1
w0.25_ir128_subnet_ID125,1112653824,417792,98304,221568,319488,76.47%,46.97%,23.53%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID126,990609408,548864,98304,287104,417792,82.09%,47.69%,23.88%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID127,1455505408,811008,98304,418176,159744,87.88%,48.44%,80.30%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID128,3298410496,417792,98304,221568,319488,76.47%,46.97%,23.53%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID129,740524032,548864,98304,287104,417792,82.09%,47.69%,23.88%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID13,1150124032,417792,98304,221568,319488,76.47%,46.97%,23.53%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID130,1284603904,417792,98304,221568,307200,76.47%,46.97%,26.47%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID131,842219520,811008,98304,418176,159744,87.88%,48.44%,80.30%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID132,3107422208,548864,98304,287104,307200,82.09%,47.69%,44.03%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID133,915652608,811008,98304,418176,208896,87.88%,48.44%,74.24%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID134,1520812032,417792,98304,221568,319488,76.47%,46.97%,23.53%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID135,2155331584,417792,98304,221568,319488,76.47%,46.97%,23.53%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID136,1176354816,417792,98304,221568,319488,76.47%,46.97%,23.53%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID137,1756348416,548864,98304,287104,417792,82.09%,47.69%,23.88%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID138,683261952,417792,98304,221568,319488,76.47%,46.97%,23.53%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID139,784564224,417792,98304,221568,319488,76.47%,46.97%,23.53%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID14,2336849920,811008,98304,418176,614400,87.88%,48.44%,24.24%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID140,1211744256,417792,98304,221568,319488,76.47%,46.97%,23.53%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID141,777240576,548864,98304,287104,417792,82.09%,47.69%,23.88%,1,1,0,0,1,0,0
w0.25_ir128_subnet_ID142,2031468544,811008,98304,418176,307200,87.88%,48.44%,62.12%,1,1,0,0,1,0,0
