onnx_name,mac_ori,ori_peak_mem,peak_after_ourTS_bal,peak_after_tinyTS,peak_after_tinynas,reduction_ourTS_bal,reduction_tinyTS,reduction_tinynas,needTS,valid_ourTS_bal,valid_tinyTS,valid_tinynas,TSwork_ourTS_bal,TSwork_tinyTS,TSwork_tinynas
w0.2_ir128_subnet_ID0,99909632,311296,311296,311296,311296,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.2_ir128_subnet_ID1,45300224,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID10,53825024,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID100,44730880,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID101,26339328,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID102,44356096,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID103,15362560,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID104,45248512,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID105,22202880,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID106,29390848,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID107,33936896,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID108,22407168,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID109,22462976,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID11,19780096,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID110,99819520,311296,311296,311296,311296,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.2_ir128_subnet_ID111,46979584,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID112,29947392,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID113,21553024,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID114,67618304,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID115,24833536,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID116,42588160,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID117,50071040,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID118,35366912,245760,245760,-1,245760,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID119,67760128,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID12,70663040,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID120,159498240,245760,245760,-1,245760,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID121,27357696,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID122,56779264,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID123,37296640,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID124,57425920,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID125,44751488,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID126,48502272,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID127,51050496,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID128,32260096,245760,245760,-1,245760,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID129,56606720,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID13,46733824,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID130,70203392,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID131,17842176,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID132,15750656,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID133,167690240,245760,245760,-1,245760,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID134,70453248,245760,245760,-1,245760,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID135,56598528,311296,311296,311296,311296,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.2_ir128_subnet_ID136,28716544,196608,196608,-1,196608,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.2_ir128_subnet_ID137,21039104,131072,131072,-1,131072,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
